Name,Team,Position,Position Rank
Kelvin Benjamin,Car,WR,17
Kenneth Dixon,Bal,RB,52
Kevin White,Chi,WR,37
Kirk Cousins,Was,QB,13
Kyle Rudolph,Min,TE,25
Ladarius Green,Pit,TE,18
Lamar Miller,Hou,RB,3
Laquon Treadwell,Min,WR,53
Larry Fitzgerald,Ari,WR,30
Latavius Murray,Oak,RB,15
Le'Veon Bell,Pit,RB,11
LeGarrette Blount,NE,RB,40
LeSean McCoy,Buf,RB,8
Los Angeles Rams Defense,LA,Def,8
Marcus Mariota,Ten,QB,19
Mark Ingram,NO,RB,14
Mark Sanchez,Den,QB,31
Markus Wheaton,Pit,WR,43
Martellus Bennett,NE,TE,14
Marvin Jones,Det,WR,34
Mason Crosby,GB,K,5
Matt Bryant,ATL,K,18
Matt Forte,NYJ,RB,20
Matt Jones,Was,RB,24
Matt Prater,DET,K,11
Matt Ryan,Atl,QB,20
Matthew Stafford,Det,QB,16
Melvin Gordon,SD,RB,22
Miami Dolphins Defense,MIA,Def,19
Michael Crabtree,Oak,WR,32
Michael Floyd,Ari,WR,28
Michael Thomas,NO,WR,46
Mike Evans,TB,WR,10
Mike Nugent,CIN,K,19
Mike Wallace,Bal,WR,58
Minnesota Vikings Defense,MIN,Def,9
Mohamed Sanu,Atl,WR,52
Nelson Agholor,Phi,WR,62
New England Patriots Defense,NE,Def,10
New Orleans Saints Defense,NO,Def,32
New York Giants Defense,NYG,Def,23
New York Jets Defense,NYJ,Def,11
Nick Folk,NYJ,K,27
Nick Novak,HOU,K,22
Oakland Raiders Defense,OAK,Def,14
Odell Beckham Jr.,NYG,WR,2
Phil Dawson,SF,K,23
Philadelphia Eagles Defense,PHI,Def,17
Philip Rivers,SD,QB,10
Phillip Dorsett,Ind,WR,55
Pierre Garcon,Was,WR,63
Pittsburgh Steelers Defense,PIT,Def,16
Randall Cobb,GB,WR,24
Rashad Jennings,NYG,RB,31
Richard Rodgers,GB,TE,27
Rishard Matthews,Ten,WR,57
Rob Gronkowski,NE,TE,1
Robbie Gould,CHI,K,17
Robert Griffin III,Cle,QB,28
Roberto Aguayo,TB,K,15
Ronnie Hillman,Den,RB,54
Rueben Randle,Phi,WR,70
Russell Wilson,Sea,QB,3
Ryan Fitzpatrick,NYJ,QB,22
Ryan Mathews,Phi,RB,17
Ryan Succop,TEN,K,32
Ryan Tannehill,Mia,QB,21
Sam Bradford,Phi,QB,29
Sammie Coates,Pit,WR,59
Sammy Watkins,Buf,WR,12
San Diego Chargers Defense,SD,Def,31
San Francisco 49ers Defense,SF,Def,26
Seattle Seahawks Defense,SEA,Def,1
Sebastian Janikowski,OAK,K,20
Shane Vereen,NYG,RB,50
Spencer Ware,KC,RB,51
Stefon Diggs,Min,WR,44
Stephen Gostkowski,NE,K,1
Sterling Shepard,NYG,WR,38
Steve Smith Sr.,Bal,WR,48
Steven Hauschka,SEA,K,2
Stevie Johnson,SD,WR,72
T.J. Yeldon,Jac,RB,33
T.Y. Hilton,Ind,WR,20
Tampa Bay Buccaneers Defense,TB,Def,20
Tavon Austin,StL,WR,45
Ted Ginn Jr.,Car,WR,67
Teddy Bridgewater,Min,QB,27
Tennessee Titans Defense,TEN,Def,28
Terrance Williams,Dal,WR,64
Tevin Coleman,Atl,RB,43
Theo Riddick,Det,RB,39
Thomas Rawls,Sea,RB,16
Tim Hightower,NO,RB,60
Todd Gurley,StL,RB,1
Tom Brady,NE,QB,9
Tony Romo,Dal,QB,12
Torrey Smith,SF,WR,40
Travis Benjamin,SD,WR,49
Travis Coons,CLE,K,31
Travis Kelce,KC,TE,6
Tyler Boyd,Cin,WR,61
Tyler Eifert,Cin,TE,4
Tyler Lockett,Sea,WR,35
Tyrod Taylor,Buf,QB,14
Victor Cruz,NYG,WR,69
Vincent Jackson,TB,WR,42
Washington Redskins Defense,WAS,Def,22
Will Fuller,Hou,WR,56
Will Tye,NYG,TE,26
Willie Snead,NO,WR,41
Zach Ertz,Phi,TE,9
Zach Miller,Chi,TE,15
